,NDVI,EVI,SAVI,GNDVI,RVI,RDVI,MSAVI,GLCM_Contrast,GLCM_Homogeneity,GLCM_Entropy,GLCM_Correlation
NDVI,1.0,0.9284468290643837,0.8486538622327144,0.015723439322444934,0.027788157945572795,-0.028992266695724588,-0.11838613775275789,-0.018245273019110626,0.06801099653259722,-0.06996904602483191,-0.05647461698192658
EVI,0.9284468290643837,1.0,0.7965175766257325,-0.0012484042322321526,0.0325727662769465,0.0004519332950001988,-0.10346032064067485,0.02111839688724875,0.05480403901449859,-0.08792585275532423,-0.05083795502036291
SAVI,0.8486538622327144,0.7965175766257325,1.0,-0.07323412321051866,-0.042736597208409006,-0.004342295443976907,-0.10733285167068944,0.03601350353577367,0.08649637837133313,-0.03375174012447166,-0.06502812444862358
GNDVI,0.015723439322444934,-0.0012484042322321526,-0.07323412321051866,1.0,0.006120012246847696,-0.04443845700269549,0.008667965088768369,-0.05171576004397022,-0.11126583044911541,-0.03888947922972603,-0.017871446748758534
RVI,0.027788157945572795,0.0325727662769465,-0.042736597208409006,0.006120012246847696,1.0,-0.04930436242432417,0.05230849198871447,0.05592457363866597,0.077801068995336,-0.14442075761276926,0.010882460416301847
RDVI,-0.028992266695724588,0.0004519332950001988,-0.004342295443976907,-0.04443845700269549,-0.04930436242432417,1.0,-0.029066946898210877,0.02625870423879328,-0.025529305022492507,-0.06813843829348679,0.15807519905964706
MSAVI,-0.11838613775275789,-0.10346032064067485,-0.10733285167068944,0.008667965088768369,0.05230849198871447,-0.029066946898210877,1.0,0.06165711733340306,-0.07812290072078464,-0.00560322355127354,0.050735312316020124
GLCM_Contrast,-0.018245273019110626,0.02111839688724875,0.03601350353577367,-0.05171576004397022,0.05592457363866597,0.02625870423879328,0.06165711733340306,1.0,0.07882268323115264,-0.06656027438273839,-0.06522039539251097
GLCM_Homogeneity,0.06801099653259722,0.05480403901449859,0.08649637837133313,-0.11126583044911541,0.077801068995336,-0.025529305022492507,-0.07812290072078464,0.07882268323115264,1.0,-0.31161941295184087,-0.05719263091326804
GLCM_Entropy,-0.06996904602483191,-0.08792585275532423,-0.03375174012447166,-0.03888947922972603,-0.14442075761276926,-0.06813843829348679,-0.00560322355127354,-0.06656027438273839,-0.31161941295184087,1.0,0.06959055637252366
GLCM_Correlation,-0.05647461698192658,-0.05083795502036291,-0.06502812444862358,-0.017871446748758534,0.010882460416301847,0.15807519905964706,0.050735312316020124,-0.06522039539251097,-0.05719263091326804,0.06959055637252366,1.0
